source_reviewed_at,platform,program,category,reward_type,source_status,safe_automation_score,required_work,reward_timing,competition,capital_intensity,monitorability,execution_risk,automation_mode,can_codex_capture,why_not_autonomous,safe_next_action,official_urls
2026-08-05,Aave,"Liquidity Incentives, Safety Module, and Merit",defi_protocol,supply_borrow_staking_airdrop,primary_verified,42,"Supply, borrow, stake, or perform Aave-aligned actions eligible for DAO or external incentives.","Continuous or periodic depending on reserve, controller, and Merit campaign.",Medium; rewards are usually arbitraged down by professional DeFi capital.,medium,public_docs,high,watchlist_only,No,"Requires onchain transactions, smart-contract risk, liquidation risk, and governance-specific terms.","Monitor via Merkl and official Aave incentive pages, then calculate net APR after borrow, liquidation, and gas risk.",https://aave.com/docs/aave-v3/concepts/incentives
2026-08-05,Aerodrome,LP Emissions and veAERO Incentives,defi_protocol,lp_emissions_voting_incentives,primary_verified,42,"Provide liquidity to pools, or lock/vote veAERO to direct emissions and receive pool fees/incentives.",Weekly epoch mechanics.,High; Base-native yield farmers and vote markets make rewards efficient quickly.,medium,public_docs,high,watchlist_only,No,"LP and ve-locking actions create impermanent loss, lockup, and smart-contract risk.",Track candidate pools only when APR beats impermanent-loss and gas-adjusted thresholds.,https://aerodrome.finance/docs https://aerodrome.finance/documents/AERO/legal-disclosures.pdf
2026-08-05,Kalshi,Designated Liquidity Provider Program,prediction_market,market_maker_agreement,primary_verified,37,"Apply, qualify, sign a market maker agreement, and quote required markets under negotiated terms.",Program-specific and agreement-specific.,Institutional.,institutional,public_docs,high,eligibility_watch_only,No,"Requires account review, agreement, capital, and professional market-making operations.",Track eligibility and maintain a future application checklist only.,https://help.kalshi.com/en/articles/15410219-liquidity-provider-program https://help.kalshi.com/en/articles/13823819-how-to-become-a-market-maker-on-kalshi
2026-08-05,Hyperliquid,"Maker Rebates, Fee Tiers, Staking Discounts, Referrals",crypto_perp_dex,maker_rebate_fee_discount_referral,primary_verified,35,"Generate maker volume share for rebates, reach rolling volume tiers, stake HYPE for discounts, or claim referral rewards when eligible.",Maker rebates are paid continuously on each trade; volume tiers are assessed daily UTC.,Very high; maker rebate thresholds start at meaningful share of venue maker volume.,high,public_docs,high,watchlist_only,No,"Requires active leveraged trading, wallet/account actions, and jurisdiction checks; app shows restricted-jurisdiction gating.",Use public docs for fee modeling only; no account-side automation.,https://hyperliquid.gitbook.io/hyperliquid-docs/trading/fees https://app.hyperliquid.xyz/trade
2026-08-05,dYdX,Rewards Directory and Surge,crypto_perp_dex,trading_competition_fee_rebate_referral,primary_verified,35,"Execute eligible taker trades, use eligible interfaces, stake DYDX, trade boosted markets, or join listed campaigns.",Seasonal campaigns and monthly/weekly competitions.,Very high; leaderboard and taker-volume rewards favor sophisticated traders.,high,public_docs,high,watchlist_only,No,"dYdX states it is not available in the U.S. or to restricted persons, and capture requires leveraged trading.",Monitor rewards pages for research only; do not automate participation from a U.S. account.,https://www.dydx.xyz/rewards https://www.dydx.xyz/blog/dydx-surge
2026-08-05,Binance,Fiat Liquidity Provider Promotion,crypto_exchange,institutional_maker_rebate,primary_verified,31,Newly enrolled market makers qualify by maker volume share in eligible fiat markets.,Weekly review and hourly rebate updates during the promotion window.,Institutional.,institutional,public_docs,high,eligibility_watch_only,No,"Requires exchange approval, major trading volume, and live market making.","Track program changes and preserve as future institutional path, not current retail automation.",https://www.binance.com/en/square/post/326807011037522
2026-08-05,Binance.US,Market Maker Program,crypto_exchange,market_maker_rebate,primary_verified,31,Apply with at least $10M monthly volume and maintain competitive spread/depth rankings.,Ongoing fee/rebate benefits for top participants.,Institutional or professional.,institutional,public_docs,high,eligibility_watch_only,No,Requires approval and professional market-making scale.,Keep in catalog for strategic awareness only.,https://support.binance.us/en/articles/9842933-what-is-the-binance-us-market-maker-program
2026-08-05,Coinbase Exchange,Liquidity Program,crypto_exchange,large_liquidity_provider_discount,primary_verified,31,Operate as a large liquidity provider through Coinbase Exchange and API infrastructure.,Program-specific.,Institutional.,institutional,public_docs,high,eligibility_watch_only,No,"Requires exchange account eligibility, high volume, and live trading.",Catalog for strategic awareness and future API-readiness only.,https://www.coinbase.com/exchange/liquidity-program https://www.coinbase.com/developer-platform/products/exchange-api
2026-08-05,Coinbase International Exchange,Liquidity Program,crypto_exchange,institutional_liquidity_rebate,primary_verified,31,"Meet prior-month adjusted volume, open-interest, or USDC-balance thresholds for perps or spot tiers.",Monthly evaluation; rebates reflected on fills.,Institutional.,institutional,public_docs,high,eligibility_watch_only,No,Eligibility is jurisdiction/account dependent and capture requires active exchange trading.,Track only if an eligible non-U.S. institutional account exists.,https://help.coinbase.com/en/international-exchange/trading-deposits-withdrawals/international-exchange-liquidity-program
2026-08-05,Kraken,Market Participation Program and Market Maker Incentives,crypto_exchange,institutional_fee_rebate_equity_linked_incentive,primary_verified,31,Qualify as an institution/professional/accredited participant and reach volume/share thresholds.,Weekly calculation/allocation and end-of-program distribution for MPP.,Institutional.,institutional,public_docs,high,eligibility_watch_only,No,Requires institutional eligibility and live spot/futures market participation.,Track as a future institutional venue; not a small-account reward capture lane.,https://www.kraken.com/institutions/market-participation-program https://www.kraken.com/institutions/market-makers
2026-08-05,Airdrop and Task Platforms,"Grass, Teneo, Monad, Backpack, MetaMask, Base, Yieldbay, Silencio watchlist",crypto_airdrop_tasks,points_airdrop_task_bounty,secondary_needs_verification,21,"Varies: browser extensions, nodes, testnet actions, trading volume, bridging, social tasks, or app usage. Each must be verified from official docs before consideration.",Speculative or campaign-specific.,Very high and Sybil-heavy.,low,secondary_only,high,verification_queue_only,No,"High scam/Sybil/compliance risk and often requires wallets, extensions, social accounts, or fake activity.",Only create official-source verification tasks; do not automate transactions or account farming.,
